s,x_right,y_right,x_left,y_left,psi_center,kappa_center,v_ref,x_centerline,y_centerline,lane_width,x_left_border,y_left_border,x_right_border,y_right_border
0.0,0.0,-1.85,0.0,1.85,0.0117803063630502,-3.632735731577317e-07,33.0,0.0,0.0,3.7,-0.0217930627058576,3.6998716340378595,0.0217930627058576,-3.6998716340378595
1.0,1.0,-1.838219148666933,1.0,1.8617808513330671,0.0117799430642689,-7.265359545393475e-07,33.0,1.0,0.011780851333067055,3.7,0.9782076093502541,3.7116524932881974,1.021792390649746,-3.6880907906220632
2.0,2.0,-1.826439024032269,2.0,1.8735609759677312,0.0117788531903161,-1.4530271488735043e-06,33.0,2.0,0.0235609759677311,3.7,1.9782096254771855,3.723432641672722,2.0217903745228143,-3.6763106897372597
3.0,3.0,-1.8146603527495848,3.0,1.8853396472504156,0.0117770368083645,-2.1794288255481338e-06,33.0,3.0,0.035339647250415385,3.7,2.9782129855507278,3.735211352531998,3.0217870144492722,-3.664532058031167
4.0,4.0,-1.8028838613828075,4.0,1.8971161386171929,0.0117744940303638,-2.9056962325542406e-06,33.0,4.0,0.04711613861719266,3.7,3.9782176893638748,3.7469878992923356,4.021782310636126,-3.65275562205795
5.0,5.0,-1.791110276361397,5.0,1.908889723638603,0.0117712250130341,-3.631784626053023e-06,33.0,5.0,0.05888972363860301,3.7,4.978223736626834,3.7587615555106124,5.021776263373166,-3.6409821082334064
6.0,6.0,-1.779340323935536,6.0,1.920659676064464,0.0117672299578562,-4.357649273157121e-06,33.0,6.0,0.070659676064464,3.7,5.9782311269670485,3.7705315949190847,6.0217688730329515,-3.6292122427901568
7.0,7.0,-1.7675747301313314,7.0,1.9324252698686688,0.0117625091110593,-5.083245454613026e-06,33.0,7.0,0.08242526986866872,3.7,6.9782398599292135,3.782297291470191,7.0217601400707865,-3.617446751732853
8.0,8.0,-1.75581422070603,8.0,1.94418577929397,0.0117570627636058,-5.808528467547681e-06,33.0,8.0,0.09418577929396998,3.7,7.97824993497531,3.794057919381339,8.021750065024689,-3.605686360793399
9.0,9.0,-1.74405952110325,9.0,1.95594047889675,0.0117508912511736,-6.533453628181322e-06,33.0,9.0,0.10594047889675007,3.7,8.978261351484635,3.805812753179687,9.021738648515365,-3.593931795386187
10.0,10.0,-1.7323113564082326,10.0,1.9676886435917675,0.0117439949541357,-7.2579762745386095e-06,33.0,10.0,0.11768864359176745,3.7,9.978274108753837,3.817561067746893,10.021725891246163,-3.5821837805633585
11.0,11.0,-1.720570451303115,11.0,1.9794295486968847,0.0117363742975367,-7.982051769224867e-06,33.0,11.0,0.12942954869688483,3.6999999999999997,10.978288205996964,3.8293021383638512,11.021711794003036,-3.5704430409700816
12.0,12.0,-1.7088375300222287,12.0,1.9911624699777717,0.0117280297510666,-8.70563550214687e-06,33.0,12.0,0.1411624699777715,3.7,11.978303642345509,3.8410352407554083,12.021696357654491,-3.558710300799865
13.0,13.0,-1.697113316307425,13.0,2.002886683692575,0.0117189618290325,-9.428682893185126e-06,33.0,13.0,0.15288668369257508,3.7,12.97832041684846,3.8527596511350364,13.02167958315154,-3.5469862837498862
14.0,14.0,-1.6853985333634325,14.0,2.014601466636568,0.0117091710903267,-1.0151149394856688e-05,33.0,14.0,0.16460146663656772,3.7,13.978338528472362,3.8644746462494997,14.021661471527638,-3.535271712976364
15.0,15.0,-1.6736939038132437,15.0,2.0263060961867567,0.0116986581383931,-1.0872990495205282e-05,33.0,15.0,0.17630609618675652,3.7,14.978357976101378,3.8761795034234714,15.021642023898622,-3.523567311049958
16.0,16.0,-1.6620001496535437,16.0,2.0379998503464565,0.0116874236211892,-1.1594161720490284e-05,33.0,16.0,0.1879998503464564,3.7,15.978378758537362,3.8878735006041207,16.021621241462636,-3.511873799911208
17.0,17.0,-1.6503179922101716,17.0,2.049682007789829,0.0116754682311473,-1.2314618637673731e-05,33.0,17.0,0.1996820077898287,3.7000000000000006,16.978400874499926,3.899555916405666,17.021599125500074,-3.5001919008260085
