s,x_right,y_right,x_left,y_left,psi_center,kappa_center,v_ref
0.0,0.0,-1.85,0.0,1.85,0.011780306363050278,-3.6327357315773166e-07,33.0
1.0,1.0,-1.838219148666933,1.0,1.8617808513330671,0.011779943064268905,-7.265359545393475e-07,33.0
2.0,2.0,-1.826439024032269,2.0,1.8735609759677312,0.011778853190316112,-1.4530271488735045e-06,33.0
3.0,3.0,-1.8146603527495848,3.0,1.8853396472504154,0.011777036808364508,-2.1794288255481338e-06,33.0
4.0,4.0,-1.8028838613828075,4.0,1.8971161386171926,0.011774494030363828,-2.9056962325542406e-06,33.0
5.0,5.0,-1.791110276361397,5.0,1.908889723638603,0.011771225013034152,-3.6317846260530226e-06,33.0
6.0,6.0,-1.779340323935536,6.0,1.920659676064464,0.011767229957856276,-4.357649273157121e-06,33.0
7.0,7.0,-1.7675747301313314,7.0,1.9324252698686688,0.011762509111059347,-5.083245454613026e-06,33.0
8.0,8.0,-1.75581422070603,8.0,1.94418577929397,0.01175706276360584,-5.808528467547681e-06,33.0
9.0,9.0,-1.7440595211032501,9.0,1.95594047889675,0.011750891251173684,-6.533453628181322e-06,33.0
10.0,10.0,-1.7323113564082326,10.0,1.9676886435917675,0.011743994954135783,-7.2579762745386095e-06,33.0
11.0,11.0,-1.720570451303115,11.0,1.9794295486968851,0.011736374297536701,-7.982051769224867e-06,33.0
12.0,12.0,-1.7088375300222287,12.0,1.9911624699777715,0.01172802975106661,-8.70563550214687e-06,33.0
13.0,13.0,-1.697113316307425,13.0,2.002886683692575,0.0117189618290325,-9.428682893185126e-06,33.0
14.0,14.0,-1.6853985333634323,14.0,2.014601466636568,0.011709171090326776,-1.0151149394856688e-05,33.0
15.0,15.0,-1.6736939038132437,15.0,2.0263060961867567,0.011698658138393108,-1.0872990495205282e-05,33.0
16.0,16.0,-1.6620001496535437,16.0,2.0379998503464565,0.011687423621189224,-1.1594161720490285e-05,33.0
17.0,17.0,-1.6503179922101716,17.0,2.0496820077898286,0.011675468231147368,-1.2314618637673733e-05,33.0
18.0,18.0,-1.638648152093626,18.0,2.061351847906374,0.011662792705132093,-1.3034316857334994e-05,33.0
19.0,19.0,-1.6269913491546155,19.0,2.0730086508453844,0.011649397824394869,-1.3753212036436354e-05,33.0
20.0,20.0,-1.6153483024396538,20.0,2.0846516975603464,0.011635284414526319,-1.4471259880863234e-05,33.0
21.0,21.0,-1.6037197301467057,21.0,2.0962802698532945,0.01162045334540573,-1.5188416148194335e-05,33.0
22.0,22.0,-1.5921063495808858,22.0,2.1078936504191144,0.011604905531147725,-1.5904636650416406e-05,33.0
23.0,23.0,-1.5805088771102112,23.0,2.119491122889789,0.011588641930046327,-1.6619877256623526e-05,33.0
24.0,24.0,-1.568928028121413,24.0,2.131071971878587,0.011571663544516206,-1.7334093895676594e-05,33.0
25.0,25.0,-1.5573645169758077,25.0,2.1426354830241925,0.011553971421031406,-1.8047242558967078e-05,33.0
26.0,26.0,-1.5458190569652313,26.0,2.1541809430347687,0.011535566650061047,-1.8759279303006532e-05,33.0
27.0,27.0,-1.5342923602680416,27.0,2.1657076397319583,0.01151645036600285,-1.9470160252131655e-05,33.0
28.0,28.0,-1.5227851379051862,28.0,2.177214862094814,0.011496623747113412,-2.017984160138116e-05,33.0
29.0,29.0,-1.5112980996963445,29.0,2.1887019003036556,0.011476088015435952,-2.0888279618816942e-05,33.0
30.0,30.0,-1.499831954216142,30.0,2.200168045783858,0.01145484443672593,-2.1595430648401294e-05,33.0
31.0,31.0,-1.488387408750442,31.0,2.2116125912495583,0.011432894320373022,-2.2301251112846546e-05,33.0
32.0,32.0,-1.476965169252718,32.0,2.2230348307472823,0.011410239019321016,-2.3005697515926312e-05,33.0
33.0,33.0,-1.465565940300505,33.0,2.2344340596994954,0.011386879929985147,-2.3708726445269083e-05,33.0
34.0,34.0,-1.4541904250519406,34.0,2.2458095749480593,0.011362818492166391,-2.4410294575067062e-05,33.0
35.0,35.0,-1.4428393252023888,35.0,2.2571606747976114,0.011338056188963365,-2.511035866871315e-05,33.0
36.0,36.0,-1.4315133409411562,36.0,2.268486659058844,0.011312594546681327,-2.5808875581541377e-05,33.0
37.0,37.0,-1.4202131709083026,37.0,2.2797868290916976,0.011286435134738582,-2.6505802263172878e-05,33.0
38.0,38.0,-1.4089395121515442,38.0,2.291060487848456,0.011259579565570773,-2.7201095760364244e-05,33.0
39.0,39.0,-1.3976930600832564,39.0,2.3023069399167437,0.011232029494531571,-2.789471321979277e-05,33.0
40.0,40.0,-1.386474508437579,40.0,2.3135254915624213,0.011203786619791387,-2.8586611890166296e-05,33.0
41.0,41.0,-1.375284549227621,41.0,2.3247154507723793,0.011174852682233822,-2.9276749125393935e-05,33.0
42.0,42.0,-1.364123872702776,42.0,2.335876127297224,0.011145229465348025,-2.996508238708058e-05,33.0
43.0,43.0,-1.3529931673061437,43.0,2.3470068326938565,0.011114918795120141,-3.0651569246709315e-05,33.0
44.0,44.0,-1.341893119632063,44.0,2.358106880367937,0.011083922539921288,-3.1336167388802485e-05,33.0
45.0,45.0,-1.3308244143837604,45.0,2.3691755856162398,0.01105224261039267,-3.201883461309244e-05,33.0
46.0,46.0,-1.3197877343311144,46.0,2.3802122656688858,0.011019880959329206,-3.2699528837406334e-05,33.0
47.0,47.0,-1.3087837602685373,47.0,2.391216239731463,0.010986839581558851,-3.3378208100257164e-05,33.0
48.0,48.0,-1.297813170972983,48.0,2.402186829027017,0.010953120513821038,-3.40548305628782e-05,33.0
49.0,49.0,-1.2868766431620755,49.0,2.4131233568379247,0.01091872583464192,-3.472935451248753e-05,33.0
50.0,50.0,-1.2759748514523654,50.0,2.424025148547635,0.010883657664206266,-3.540173836468205e-05,33.0
51.0,51.0,-1.2651084683177176,51.0,2.4348915316822826,0.01084791816422791,-3.607194066561488e-05,33.0
52.0,52.0,-1.254278164047829,52.0,2.4457218359521713,0.01081150953781728,-3.673992009479233e-05,33.0
53.0,53.0,-1.2434846067068825,53.0,2.4565153932931176,0.010774434029346247,-3.740563546771664e-05,33.0
54.0,54.0,-1.2327284620923369,54.0,2.4672715379076635,0.010736693924310352,-3.806904573826455e-05,33.0
55.0,55.0,-1.222010393693858,55.0,2.477989606306142,0.0106982915491889,-3.873011000128726e-05,33.0
56.0,56.0,-1.2113310626523912,56.0,2.488668937347609,0.010659229271301971,-3.938878749509177e-05,33.0
57.0,57.0,-1.2006911277193792,57.0,2.499308872280621,0.010619509498665549,-4.004503760382109e-05,33.0
58.0,58.0,-1.1900912452161274,58.0,2.509908754783873,0.010579134679843765,-4.069881986030388e-05,33.0
59.0,59.0,-1.1795320689933184,59.0,2.5204679310066815,0.010538107303798316,-4.1350093948074386e-05,33.0
60.0,60.0,-1.16901425039068,60.0,2.53098574960932,0.01049642989973667,-4.199881970407856e-05,33.0
61.0,61.0,-1.1585384381968067,61.0,2.5414615618031933,0.010454105036956063,-4.264495712150381e-05,33.0
62.0,62.0,-1.1481052786091401,62.0,2.55189472139086,0.01041113532468604,-4.328846635160273e-05,33.0
63.0,63.0,-1.1377154151941082,63.0,2.5622845848058917,0.010367523411928802,-4.3929307706464406e-05,33.0
64.0,64.0,-1.1273694888474273,64.0,2.572630511152573,0.0103232719872962,-4.45674416614527e-05,33.0
65.0,65.0,-1.1170681377545677,65.0,2.5829318622454327,0.010278383778845202,-4.520282885764249e-05,33.0
66.0,66.0,-1.1068119973513888,66.0,2.5931880026486116,0.010232861553910016,-4.5835430104178744e-05,33.0
67.0,67.0,-1.0966017002849415,67.0,2.6033982997150584,0.010186708118932832,-4.646520638085457e-05,33.0
68.0,68.0,-1.0864378763744431,68.0,2.613562123625557,0.010139926319290787,-4.709211884049871e-05,33.0
69.0,69.0,-1.076321152572429,69.0,2.623678847427571,0.010092519039121938,-4.7716128810808186e-05,33.0
70.0,70.0,-1.066252152926077,70.0,2.6337478470739235,0.010044489201148556,-4.8337197797590645e-05,33.0
71.0,71.0,-1.0562314985387142,71.0,2.643768501461286,0.009995839766496616,-4.895528748679531e-05,33.0
72.0,72.0,-1.0462598075315053,72.0,2.653740192468495,0.009946573734515029,-4.957035974657199e-05,33.0
73.0,73.0,-1.036337695005322,73.0,2.663662304994678,0.009896694142591016,-5.018237663004588e-05,33.0
74.0,74.0,-1.0264657730028026,74.0,2.6735342269971976,0.009846204065963798,-5.0791300377486375e-05,33.0
75.0,75.0,-1.0166446504705968,75.0,2.6833553495294034,0.009795106617535623,-5.1397093418644425e-05,33.0
76.0,76.0,-1.0068749332218043,76.0,2.6931250667781956,0.009743404947680794,-5.19997183751179e-05,33.0
77.0,77.0,-0.9971572238986042,77.0,2.702842776101396,0.009691102244051968,-5.2599138062603676e-05,33.0
78.0,78.0,-0.9874921219350824,78.0,2.7125078780649177,0.00963820173138468,-5.319531549307265e-05,33.0
