s,x_right,y_right,x_left,y_left,psi_center,kappa_center,v_ref,x_centerline,y_centerline,lane_width,x_left_border,y_left_border,x_right_border,y_right_border
0,0,-1.85,0,1.85,0.0117803063630502,-3.63273573157732E-07,10,0,0,3.7,-0.0217930627058576,3.69987163403786,0.0217930627058576,-3.69987163403786
1,1,-1.83821914866693,1,1.86178085133307,0.0117799430642689,-7.26535954539348E-07,10,1,0.0117808513330671,3.7,0.978207609350254,3.7116524932882,1.02179239064975,-3.68809079062206
2,2,-1.82643902403227,2,1.87356097596773,0.0117788531903161,-1.4530271488735E-06,10,2,0.0235609759677311,3.7,1.97820962547719,3.72343264167272,2.02179037452281,-3.67631068973726
3,3,-1.81466035274958,3,1.88533964725042,0.0117770368083645,-2.17942882554813E-06,10,3,0.0353396472504154,3.7,2.97821298555073,3.735211352532,3.02178701444927,-3.66453205803117
4,4,-1.80288386138281,4,1.89711613861719,0.0117744940303638,-2.90569623255424E-06,10,4,0.0471161386171927,3.7,3.97821768936387,3.74698789929234,4.02178231063613,-3.65275562205795
5,5,-1.7911102763614,5,1.9088897236386,0.0117712250130341,-3.63178462605302E-06,10,5,0.058889723638603,3.7,4.97822373662683,3.75876155551061,5.02177626337317,-3.64098210823341
6,6,-1.77934032393554,6,1.92065967606446,0.0117672299578562,-4.35764927315712E-06,10,6,0.070659676064464,3.7,5.97823112696705,3.77053159491908,6.02176887303295,-3.62921224279016
7,7,-1.76757473013133,7,1.93242526986867,0.0117625091110593,-5.08324545461303E-06,10,7,0.0824252698686687,3.7,6.97823985992921,3.78229729147019,7.02176014007079,-3.61744675173285
8,8,-1.75581422070603,8,1.94418577929397,0.0117570627636058,-5.80852846754768E-06,10,8,0.09418577929397,3.7,7.97824993497531,3.79405791938134,8.02175006502469,-3.6056863607934
9,9,-1.74405952110325,9,1.95594047889675,0.0117508912511736,-6.53345362818132E-06,10,9,0.10594047889675,3.7,8.97826135148464,3.80581275317969,9.02173864851537,-3.59393179538619
10,10,-1.73231135640823,10,1.96768864359177,0.0117439949541357,-7.25797627453861E-06,10,10,0.117688643591767,3.7,9.97827410875384,3.81756106774689,10.0217258912462,-3.58218378056336
11,11,-1.72057045130312,11,1.97942954869688,0.0117363742975367,-7.98205176922487E-06,10,11,0.129429548696885,3.7,10.978288205997,3.82930213836385,11.021711794003,-3.57044304097008
