t,s,x,y,psi,v,delta,a_cmd,ddelta_cmd,ey,epsi,dv,v_ref,x_ref,y_ref,psi_ref
0.000000,1.000000,0.000000,-1.850000,0.011780,28.000000,0.000000,3.000001,-0.000213,-0.000000,0.000000,-5.000000,33.000000,1.000000,-1.838219,0.011780
0.100000,2.799806,2.799806,-1.817016,0.011780,28.250000,-0.000021,3.000001,0.000194,0.000002,0.000003,-4.750000,33.000000,2.799806,-1.817018,0.011777
0.200000,5.624610,5.624610,-1.783737,0.011758,28.500000,-0.000002,3.000001,-0.000201,0.000021,-0.000011,-4.500000,33.000000,5.624610,-1.783759,0.011769
0.300000,8.474413,8.474413,-1.750228,0.011756,28.750000,-0.000022,3.000001,-0.000032,0.000010,0.000002,-4.250000,33.000000,8.474413,-1.750238,0.011754
0.400000,11.349215,11.349214,-1.716430,0.011732,29.000000,-0.000025,3.000001,-0.000086,0.000043,-0.000001,-4.000000,33.000000,11.349215,-1.716473,0.011733
0.500000,14.249015,14.249014,-1.682407,0.011705,29.250000,-0.000034,3.000001,-0.000056,0.000077,-0.000001,-3.750000,33.000000,14.249015,-1.682484,0.011707
0.600000,17.173815,17.173814,-1.648170,0.011668,29.500000,-0.000039,3.000001,-0.000061,0.000119,-0.000005,-3.500000,33.000000,17.173815,-1.648290,0.011673
0.700000,20.123615,20.123613,-1.613749,0.011625,29.750000,-0.000046,3.000001,-0.000058,0.000162,-0.000008,-3.250000,33.000000,20.123615,-1.613911,0.011633
0.800000,23.098415,23.098412,-1.579164,0.011575,30.000000,-0.000051,3.000000,-0.000058,0.000205,-0.000012,-3.000000,33.000000,23.098415,-1.579369,0.011587
0.900000,26.098214,26.098211,-1.544440,0.011518,30.250000,-0.000057,3.000000,-0.000058,0.000247,-0.000016,-2.750000,33.000000,26.098214,-1.544687,0.011534
1.000000,29.123014,29.123011,-1.509599,0.011454,30.500000,-0.000063,3.000000,-0.000059,0.000289,-0.000020,-2.500000,33.000000,29.123014,-1.509888,0.011473
1.100000,32.172814,32.172811,-1.474665,0.011383,30.750000,-0.000069,3.000001,-0.000059,0.000330,-0.000023,-2.250000,33.000000,32.172814,-1.474995,0.011406
1.200000,35.247616,35.247611,-1.439664,0.011304,31.000000,-0.000075,3.000002,-0.000058,0.000371,-0.000028,-2.000000,33.000000,35.247616,-1.440035,0.011332
1.300000,38.347418,38.347413,-1.404622,0.011218,31.250000,-0.000081,3.000008,-0.000058,0.000411,-0.000032,-1.750000,33.000000,38.347418,-1.405032,0.011250
1.400000,41.472222,41.472217,-1.369565,0.011125,31.500000,-0.000086,3.000032,-0.000058,0.000449,-0.000036,-1.500000,33.000000,41.472222,-1.370014,0.011161
1.500000,44.622027,44.622022,-1.334521,0.011024,31.750000,-0.000092,3.000004,-0.000057,0.000487,-0.000040,-1.250000,33.000000,44.622027,-1.335008,0.011064
1.600000,47.796834,47.796829,-1.299520,0.010916,32.000000,-0.000098,3.000002,-0.000057,0.000522,-0.000044,-1.000000,33.000000,47.796834,-1.300042,0.010960
1.700000,50.996644,50.996638,-1.264590,0.010800,32.250000,-0.000104,3.000001,-0.000056,0.000555,-0.000048,-0.750000,33.000000,50.996644,-1.265145,0.010848
1.800000,54.221456,54.221450,-1.229761,0.010676,32.500000,-0.000109,3.000001,-0.000073,0.000594,-0.000052,-0.500000,33.000000,54.221456,-1.230355,0.010728
1.900000,57.471271,57.471265,-1.195065,0.010545,32.750000,-0.000116,3.000001,-0.000049,0.000631,-0.000056,-0.250000,33.000000,57.471271,-1.195696,0.010600
2.000000,60.746090,60.746083,-1.160532,0.010403,33.000000,-0.000121,3.000002,-0.000048,0.000666,-0.000062,0.000000,33.000000,60.746090,-1.161198,0.010465
2.100000,64.045911,64.045904,-1.126202,0.010255,33.250000,-0.000126,3.000004,-0.000056,0.000695,-0.000066,0.250000,33.000000,64.045911,-1.126897,0.010321
2.200000,67.370737,67.370729,-1.092105,0.010099,33.500000,-0.000132,3.000010,-0.000076,0.000729,-0.000070,0.500000,33.000000,67.370737,-1.092834,0.010169
2.300000,70.720566,70.720558,-1.058272,0.009936,33.750000,-0.000139,3.000056,-0.000040,0.000760,-0.000073,0.750000,33.000000,70.720566,-1.059032,0.010009
2.400000,74.095400,74.095392,-1.024739,0.009762,34.000000,-0.000143,3.000145,-0.000048,0.000790,-0.000080,1.000000,33.000000,74.095400,-1.025529,0.009841
2.500000,77.495238,77.495230,-0.991549,0.009581,34.250000,-0.000148,3.000132,-0.000074,0.000821,-0.000084,1.250000,33.000000,77.495238,-0.992371,0.009665
2.600000,80.920081,80.920073,-0.958734,0.009393,34.500000,-0.000156,2.999946,-0.000033,0.000844,-0.000087,1.500000,33.000000,80.920081,-0.959578,0.009480
2.700000,84.369929,84.369920,-0.926329,0.009194,34.750000,-0.000159,2.999773,-0.000071,0.000878,-0.000093,1.750000,33.000000,84.369929,-0.927206,0.009287
2.800000,87.844782,87.844774,-0.894379,0.008990,35.000000,-0.000166,2.999991,-0.000037,0.000899,-0.000096,2.000000,33.000000,87.844782,-0.895278,0.009086
2.900000,91.344640,91.344632,-0.862915,0.008775,35.250000,-0.000170,3.000067,-0.000060,0.000929,-0.000102,2.250000,33.000000,91.344640,-0.863844,0.008877
3.000000,94.869505,94.869496,-0.831985,0.008553,35.500000,-0.000176,3.000020,-0.000038,0.000947,-0.000106,2.500000,33.000000,94.869505,-0.832932,0.008659
3.100000,98.419375,98.419367,-0.801622,0.008322,35.750000,-0.000180,2.999911,-0.000064,0.000974,-0.000111,2.750000,33.000000,98.419375,-0.802596,0.008433
3.200000,101.994251,101.994243,-0.771871,0.008084,36.000000,-0.000186,2.999892,-0.000024,0.000987,-0.000114,3.000000,33.000000,101.994251,-0.772858,0.008199
3.300000,105.594133,105.594125,-0.742769,0.007836,36.250000,-0.000188,3.000034,-0.000079,0.001017,-0.000120,3.250000,33.000000,105.594133,-0.743785,0.007956
3.400000,109.219022,109.219014,-0.714363,0.007583,36.500000,-0.000196,3.000071,-0.000024,0.001031,-0.000122,3.500000,33.000000,109.219022,-0.715394,0.007706
3.500000,112.868917,112.868909,-0.686684,0.007318,36.750000,-0.000199,2.999976,-0.000036,0.001052,-0.000129,3.750000,33.000000,112.868917,-0.687736,0.007447
3.600000,116.543818,116.543811,-0.659791,0.007047,37.000000,-0.000202,3.000046,-0.000064,0.001069,-0.000133,4.000000,33.000000,116.543818,-0.660861,0.007181
3.700000,120.243726,120.243719,-0.633716,0.006770,37.250000,-0.000209,3.000021,-0.000026,0.001080,-0.000136,4.250000,33.000000,120.243726,-0.634796,0.006906
3.800000,123.968641,123.968633,-0.608497,0.006482,37.500000,-0.000211,3.000089,-0.000027,0.001091,-0.000142,4.500000,33.000000,123.968641,-0.609588,0.006624
