t,s,x,y,psi,v,delta,a_cmd,ddelta_cmd,ey,epsi,dv,v_ref,x_ref,y_ref,psi_ref,alpha,dmin
0.000000,1.000000,0.000000,-1.850000,0.011780,28.000000,0.000000,3.000000,-0.000131,-0.000000,0.000000,-5.000000,33.000000,1.000000,-1.838219,0.011780,0.000000,299.000204
0.100000,2.778018,2.799806,-1.817016,0.011780,28.250000,-0.000013,3.000000,-0.000018,0.000002,0.000003,-4.750000,33.000000,2.778018,-1.817275,0.011777,0.000000,296.200363
0.200000,5.602839,5.624610,-1.783737,0.011767,28.500000,-0.000015,3.000000,-0.000037,0.000021,-0.000002,-4.500000,33.000000,5.602839,-1.784015,0.011769,0.000000,293.375527
0.300000,8.452670,8.474412,-1.750203,0.011751,28.750000,-0.000019,3.000000,-0.000053,0.000034,-0.000003,-4.250000,33.000000,8.452670,-1.750493,0.011754,0.000000,290.525695
0.400000,11.327512,11.349214,-1.716420,0.011731,29.000000,-0.000024,3.000000,-0.000063,0.000053,-0.000003,-4.000000,33.000000,11.327512,-1.716728,0.011734,0.000000,287.650867
0.500000,14.227365,14.249014,-1.682401,0.011705,29.250000,-0.000030,3.000000,-0.000068,0.000082,-0.000002,-3.750000,33.000000,14.227365,-1.682737,0.011707,0.000000,284.751044
0.600000,17.152229,17.173814,-1.648164,0.011672,29.500000,-0.000037,3.000000,-0.000069,0.000125,-0.000001,-3.500000,33.000000,17.152229,-1.648542,0.011674,0.000000,281.826225
0.700000,20.102105,20.123613,-1.613731,0.011632,29.750000,-0.000044,3.000000,-0.000068,0.000179,-0.000002,-3.250000,33.000000,20.102105,-1.614161,0.011634,0.000000,278.876410
0.800000,23.076993,23.098412,-1.579127,0.011584,30.000000,-0.000051,3.000000,-0.000065,0.000242,-0.000004,-3.000000,33.000000,23.076993,-1.579617,0.011587,0.000000,275.901600
0.900000,26.076893,26.098211,-1.544377,0.011527,30.250000,-0.000057,3.000000,-0.000063,0.000310,-0.000007,-2.750000,33.000000,26.076893,-1.544933,0.011534,0.000000,272.901793
1.000000,29.101804,29.123010,-1.509508,0.011463,30.500000,-0.000063,3.000000,-0.000060,0.000379,-0.000011,-2.500000,33.000000,29.101804,-1.510131,0.011474,0.000000,269.876991
1.100000,32.151728,32.172809,-1.474547,0.011391,30.750000,-0.000070,2.939202,-0.000059,0.000448,-0.000015,-2.250000,33.000000,32.151728,-1.475236,0.011407,0.000000,266.827192
1.200000,35.226665,35.247610,-1.439519,0.011312,31.000000,-0.000075,2.612624,-0.000058,0.000515,-0.000020,-2.000000,33.000000,35.226665,-1.440272,0.011332,0.000000,263.752397
